userName,title,rating,date,version,isEdited,voteCount,review,developerResponse,country
keke-cham,Community Guidelines,2,2025-08-16T18:05:30Z,41.2.0,False,0,"You guys keep removing my comments when I’m talking to racist… people with comment calling black peoole animals and all these other things and it still up but I defend and say that it’s not true and that what they are saying is disgusting and disrespectful I get my comment removed, this has happened multiple times and it’s annoying. People are able to be naked and make racist statements/videos but when I defend others and call people out it’s an issue… This keeps happening and it’s not cool you’re fine with people calling black women manly but me saying it’s disgusting and racist it’s an issue(I see where you guys align) 

I’m back again lol so I ended up deleting TikTok for a second because it took up too much storage and I’m trying log back in it’s saids to use my phone number neigh I did got the code and then it’s said to verify with password(which is dumb because I just used my phone number which should be enough) and I clearly forgot my password because I had this account for years tried to reset it and it’s saids I couldn’t like what and now I’m out of tries like ughh",,us
𝕍𝕖𝕝𝕝,"this app banned me it said 12 and older I’m 12 and I took a picture of myself to go live, and they b",1,2025-08-16T17:35:47Z,41.2.0,False,0,I hate this app This is why they need a banner.,,us
Msveebaby,Mute button,1,2025-08-16T17:32:29Z,41.2.0,False,0,Pls install a mute button that allows the video to play.,,us
Nokia08809,TikTok,5,2025-08-16T17:20:49Z,41.2.0,False,0,Non,,us
Mightypenguin100,Internet browser.,1,2025-08-16T17:04:53Z,41.2.0,False,0,If I'm opening a link. I don't want your bad built in browser. Why can't I just open it in my browser?,,us
Bossy Ladyy,My fav app😩,5,2025-08-16T16:34:30Z,41.2.0,False,0,I downloaded TikTok back in 2018 when it was called “Musically” and before people find out about it in 2020. Ever since then it has become my favorite app of all the time and I don’t even use google anymore lol. It’s an amazing platform that has connected people during Covid-19 and it has everything you can imagine. I love you TikTok!!!!,,us
Moseratt,tiktok duent work,1,2025-08-16T16:33:04Z,41.2.0,False,0,tiktok i hate it so much its not leting me in its keeps kicking me out out and i hate it,,us
T Browns,I’m in love with Tic Tok,5,2025-08-16T16:10:55Z,41.2.0,False,0,I see so much creativity💙,,us
Chbird,Broken again 8/13/25,1,2025-08-16T15:48:38Z,41.2.0,False,0,"8/15/2025: TikTok is broken again. My feet is all garbage all the time. I have sports set to zero on the content slider yet it continuously shows me testosterone fueled teenage boy content that I would never interact with and have never interacted with. I block and block and block some more and it doesn't matter TikTok is just pure trash now.

TikTok is broken again. The app doesn't work, the feed doesn't work. Reporting to down detector every time, let everyone see how bad you are. HAD TO DELETE THE APP because it's making my phone get burning hot now. Thanks for nothing. They also updated the app and took away the ability to press on the side of the screen to get 2X. Why would you take that away? The app gets worse by the day. Why would anyone want to purchase this, let alone still use it when they make it worse every day? 8/13/25. 

Now TikTok is forcing me to watch videos from accounts that I have blocked. 30 of them in under 30 minutes. What is wrong with you TikTok? Stop violating your users by forcing them to watch trash from users that we have blocked!",,us
Brother2367,I can’t download,1,2025-08-16T15:47:21Z,41.2.0,False,0,It’s a nice app but u can easily forget ur password,,us
