userName,title,rating,date,version,isEdited,voteCount,review,developerResponse,country
Any3430,This is great!🤩🤩🤩,5,2025-08-17T10:42:47Z,20.32.5,False,0,"This app is great! You can be a youtuber, watch gaming videos that are over a billion 
views! You can also learn and play games on it. Sometimes you can’t. So just enjoy😄",,us
I’m done using YouTube,Privacy invasion,1,2025-08-17T10:32:09Z,20.32.5,False,0,Just stop trying to steal person information for “censorship” you’re a scummy company,,us
NotAIGenerated,Excellent App,5,2025-08-17T10:30:02Z,20.32.5,False,0,YouTube gives you plenty of content that will both entertain you and keep you in bed all night! Would recommend to anyone I know!,,us
comfycozyaudy,Love hate relationship,3,2025-08-17T10:23:35Z,20.32.5,False,0,"I love YouTube but I feel like it can be better, for example NO ADDS!",,us
❤️🧡💛💚💙!,So it doesnt let me comment on some people's vids,3,2025-08-17T10:19:48Z,20.32.5,False,0,Why,,us
Nonexistent9,User experience with shorts,3,2025-08-17T10:15:23Z,20.32.5,False,0,"Impressive that when you watch shorts, the buttons cover the contents. This is so annoying.",,us
The Dalgona,Фото профиля,1,2025-08-17T10:13:52Z,20.32.5,False,0,"Не могу поменять фото профиля. Ни Ютуб, ни в творческой студии",,us
noor 😈,One problem only,4,2025-08-17T10:11:24Z,20.32.5,False,0,"Technically, I want my comments to be on, but it doesn’t really work and I clearly allowed my comments being on because this is a big mistake. Please fix this. Thank you.",,us
C0meBaCKKiD,If only,3,2025-08-17T10:09:45Z,20.32.5,False,0,Like the information and entertainment. If only I could go back and find my recent history.,,us
Justsayun,You tube is the best entertainment on the web!,5,2025-08-17T10:06:07Z,20.32.5,False,0,"Decent content and variety of choices to watch and learn, 
YOUTUBE UNIVERSITY!",,us
Ice cold pols,Is is the best,5,2025-08-17T09:54:36Z,20.32.5,False,0,This is the best app on an apple phone  /. iPad.,,us
Baby’s Back,Life Saving,5,2025-08-17T09:52:31Z,20.32.5,False,0,The amount of times I had to listen to these videos of truth is astounding but absolutely life saving to break the plan of a covert narcissist destructive plan for me and my life is how I regain control over myself and my life!!! Thankyou Thankyou,,us
Lonelier has an,Pppp,5,2025-08-17T09:51:12Z,20.32.5,False,0,Hhhhh,,us
zethuz,AI is an embarrassment,1,2025-08-17T09:46:06Z,20.32.5,False,0,"The only message one sees is Something went wrong. Please try again. It’s staggering to see the wide gulf between this and Gemini. Shows what good leadership can do.

Also, shame on you YouTube for pushing scammy Ads. Why don’t you use some of this AI to filter out scams if you lack the common sense?",,us
Tolitpayper,Used to be my favorite platform,1,2025-08-17T09:41:33Z,20.32.5,False,0,With an app so concerned about getting everybody’s ID for “child safety” I am constantly getting ads that are either scams or straight up NSFW content. In my recommended page that used to be consistently good the algorithm has now made terrible. The app seems to be going downhill.,,us
Nautilus ☠️,Ridiculous Advertising Commercials,1,2025-08-17T09:15:38Z,20.32.5,False,0,The amount and length of advertising commercials per video is preposterous and exhausting!!!,,us
Adoggking,I used to love it,1,2025-08-17T08:52:19Z,20.32.5,False,0,This whole AI looking at your search history thing is total bogus like come on. You don’t need to do this on YouTube. You have YouTube kids for a reason screw this reverse it,,us
